ID,title,author,publisher,first_published_year,language,cover_image
23717,Jabberwocky,"Carroll,  Lewis",Project Gutenberg, 2007,English,https://www.gutenberg.org/cache/epub/23717/pg23717.cover.medium.jpg
61837,Tarzan and the Ant Men,"Burroughs,  Edgar Rice",Project Gutenberg, 2020,English,https://www.gutenberg.org/cache/epub/61837/pg61837.cover.medium.jpg
24197,The Tinted Venus: A Farcical Romance,"Anstey,  F.",Project Gutenberg, 2008,English,https://www.gutenberg.org/cache/epub/24197/pg24197.cover.medium.jpg
45484,The RavenIllustrated,"Poe,  Edgar Allan",Project Gutenberg, 2014,English,https://www.gutenberg.org/cache/epub/45484/pg45484.cover.medium.jpg
20707,The Black Star Passes,"Campbell,  John W.,  Jr. (John Wood)",Project Gutenberg, 2007,English,https://www.gutenberg.org/cache/epub/20707/pg20707.cover.medium.jpg
28767,The Defenders,"Dick,  Philip K.",Project Gutenberg, 2009,English,https://www.gutenberg.org/cache/epub/28767/pg28767.cover.medium.jpg
31815,Student Body,"Wallace,  F. L. (Floyd L.)",Project Gutenberg, 2010,English,https://www.gutenberg.org/cache/epub/31815/pg31815.cover.medium.jpg
69338,The Moon Maid,"Burroughs,  Edgar Rice",Project Gutenberg, 2022,English,https://www.gutenberg.org/cache/epub/69338/pg69338.cover.medium.jpg
72431,Down to Earth,"Harrison,  Harry",Project Gutenberg, 2023,English,https://www.gutenberg.org/cache/epub/72431/pg72431.cover.medium.jpg
27884,Niels Klim's journey under the groundbeing a narrative of his wonderful descent to the subterranean lands; together with an account of the sensible animals and trees inhabiting the planet Nazar and the firmament.,"Holberg,  Ludvig",Project Gutenberg, 2009,English,https://www.gutenberg.org/cache/epub/27884/pg27884.cover.medium.jpg
13821,Tales of Wonder,"Dunsany,  Lord",Project Gutenberg, 2004,English,https://www.gutenberg.org/cache/epub/13821/pg13821.cover.medium.jpg
70288,Conjure wife,"Leiber,  Fritz",Project Gutenberg, 2023,English,https://www.gutenberg.org/cache/epub/70288/pg70288.cover.medium.jpg
19651,Key Out of Time,"Norton,  Andre",Project Gutenberg, 2006,English,https://www.gutenberg.org/cache/epub/19651/pg19651.cover.medium.jpg
1267,Kai Lung's Golden Hours,"Bramah,  Ernest",Project Gutenberg, 1998,English,https://www.gutenberg.org/cache/epub/1267/pg1267.cover.medium.jpg
21638,Tarrano the Conqueror,"Cummings,  Ray",Project Gutenberg, 2007,English,https://www.gutenberg.org/cache/epub/21638/pg21638.cover.medium.jpg
10165,Across the ZodiacThe Story of a Wrecked Record,"Greg,  Percy",Project Gutenberg, 2003,English,https://www.gutenberg.org/cache/epub/10165/pg10165.cover.medium.jpg
74418,Their island home :  The later adventures of the Swiss family Robinson,"Verne,  Jules",Project Gutenberg, 2024,English,https://www.gutenberg.org/cache/epub/74418/pg74418.cover.medium.jpg
64048,Sargasso of Lost Starships,"Anderson,  Poul",Project Gutenberg, 2020,English,https://www.gutenberg.org/cache/epub/64048/pg64048.cover.medium.jpg
10935,The Wonderful Adventures of Nils,"Lagerlöf,  Selma",Project Gutenberg, 2004,English,https://www.gutenberg.org/cache/epub/10935/pg10935.cover.medium.jpg
51193,Pictures Don't Lie,"MacLean,  Katherine",Project Gutenberg, 2016,English,https://www.gutenberg.org/cache/epub/51193/pg51193.cover.medium.jpg
2148,The Works of Edgar Allan Poe — Volume 2,"Poe,  Edgar Allan",Project Gutenberg, 2000,English,https://www.gutenberg.org/cache/epub/2148/pg2148.cover.medium.jpg
35,The Time Machine,"Wells,  H. G. (Herbert George)",Project Gutenberg, 2004,English,https://www.gutenberg.org/cache/epub/35/pg35.cover.medium.jpg
42183,Queen of the Black Coast,"Howard,  Robert E. (Robert Ervin)",Project Gutenberg, 2013,English,https://www.gutenberg.org/cache/epub/42183/pg42183.cover.medium.jpg
59235,Three Good GiantsWhose Ancient Deeds are recorded in the Ancient Chronicles,"Rabelais,  François",Project Gutenberg, 2019,English,https://www.gutenberg.org/cache/epub/59235/pg59235.cover.medium.jpg
50852,"The Bells, and Other Poems","Poe,  Edgar Allan",Project Gutenberg, 2016,English,https://www.gutenberg.org/cache/epub/50852/pg50852.cover.medium.jpg
56085,The Silver Princess in Oz,"Thompson,  Ruth Plumly",Project Gutenberg, 2017,English,https://www.gutenberg.org/cache/epub/56085/pg56085.cover.medium.jpg
25051,Space Platform,"Leinster,  Murray",Project Gutenberg, 2008,English,https://www.gutenberg.org/cache/epub/25051/pg25051.cover.medium.jpg
35790,"A Fantasy of Far Japan; Or, Summer Dream Dialogues","Suematsu,  Kencho",Project Gutenberg, 2011,English,https://www.gutenberg.org/cache/epub/35790/pg35790.cover.medium.jpg
8457,Frenzied Fiction,"Leacock,  Stephen",Project Gutenberg, 2005,English,https://www.gutenberg.org/cache/epub/8457/pg8457.cover.medium.jpg
33644,The Secret of the Ninth Planet,"Wollheim,  Donald A.",Project Gutenberg, 2010,English,https://www.gutenberg.org/cache/epub/33644/pg33644.cover.medium.jpg
7608,Zicci: A Tale — Complete,"Lytton,  Edward Bulwer Lytton,  Baron",Project Gutenberg, 2004,English,https://www.gutenberg.org/cache/epub/7608/pg7608.cover.medium.jpg
24302,The Highest Treason,"Garrett,  Randall",Project Gutenberg, 2008,English,https://www.gutenberg.org/cache/epub/24302/pg24302.cover.medium.jpg
62,A Princess of Mars,"Burroughs,  Edgar Rice",Project Gutenberg, 1993,English,https://www.gutenberg.org/cache/epub/62/pg62.cover.medium.jpg
22239,Security,"Anderson,  Poul",Project Gutenberg, 2007,English,https://www.gutenberg.org/cache/epub/22239/pg22239.cover.medium.jpg
20654,Fantasia of the Unconscious,"Lawrence,  D. H. (David Herbert)",Project Gutenberg, 2007,English,https://www.gutenberg.org/cache/epub/20654/pg20654.cover.medium.jpg
33582,Rhyme? and reason?,"Carroll,  Lewis",Project Gutenberg, 2010,English,https://www.gutenberg.org/cache/epub/33582/pg33582.cover.medium.jpg
18328,The Story of Sigurd the Volsung and the Fall of the Niblungs,"Morris,  William",Project Gutenberg, 2006,English,https://www.gutenberg.org/cache/epub/18328/pg18328.cover.medium.jpg
51150,Venus is a Man's World,"Tenn,  William",Project Gutenberg, 2016,English,https://www.gutenberg.org/cache/epub/51150/pg51150.cover.medium.jpg
35641,Uncanny Tales,"Molesworth,  Mrs.",Project Gutenberg, 2011,English,https://www.gutenberg.org/cache/epub/35641/pg35641.cover.medium.jpg
29662,The Moon is Green,"Leiber,  Fritz",Project Gutenberg, 2009,English,https://www.gutenberg.org/cache/epub/29662/pg29662.cover.medium.jpg
68397,Masters of the vortex,"Smith,  E. E. (Edward Elmer)",Project Gutenberg, 2022,English,https://www.gutenberg.org/cache/epub/68397/pg68397.cover.medium.jpg
41445,"Frankenstein; Or, The Modern Prometheus","Shelley,  Mary Wollstonecraft",Project Gutenberg, 2012,English,https://www.gutenberg.org/cache/epub/41445/pg41445.cover.medium.jpg
75233,Dragon moon,"Kuttner,  Henry",Project Gutenberg, 2025,English,https://www.gutenberg.org/cache/epub/75233/pg75233.cover.medium.jpg
26201,The Story of Doctor Dolittle,"Lofting,  Hugh",Project Gutenberg, 2008,English,https://www.gutenberg.org/cache/epub/26201/pg26201.cover.medium.jpg
