ID,title,author,publisher,first_published_year,language,cover_image
12949,Contes Français,"Buffum,  Douglas Labaree",Project Gutenberg, 2004,French,https://www.gutenberg.org/cache/epub/12949/pg12949.cover.medium.jpg
23717,Jabberwocky,"Carroll,  Lewis",Project Gutenberg, 2007,English,https://www.gutenberg.org/cache/epub/23717/pg23717.cover.medium.jpg
2559,"The Forsyte Saga, Volume I.The Man Of Property","Galsworthy,  John",Project Gutenberg, 2006,English,https://www.gutenberg.org/cache/epub/2559/pg2559.cover.medium.jpg
32940,"Encyclopaedia Britannica, 11th Edition, ""England"" to ""English Finance""Volume 9, Slice 4",Various,Project Gutenberg, 2010,English,https://www.gutenberg.org/cache/epub/32940/pg32940.cover.medium.jpg
14872,The Tale of Squirrel Nutkin,"Potter,  Beatrix",Project Gutenberg, 2005,English,https://www.gutenberg.org/cache/epub/14872/pg14872.cover.medium.jpg
205,"Walden, and On The Duty Of Civil Disobedience","Thoreau,  Henry David",Project Gutenberg, 1995,English,https://www.gutenberg.org/cache/epub/205/pg205.cover.medium.jpg
40686,Demonology and Devil-lore,"Conway,  Moncure Daniel",Project Gutenberg, 2012,English,https://www.gutenberg.org/cache/epub/40686/pg40686.cover.medium.jpg
41214,Totem and TabooResemblances Between the Psychic Lives of Savages and Neurotics,"Freud,  Sigmund",Project Gutenberg, 2012,English,https://www.gutenberg.org/cache/epub/41214/pg41214.cover.medium.jpg
74,"The Adventures of Tom Sawyer, Complete","Twain,  Mark",Project Gutenberg, 2004,English,https://www.gutenberg.org/cache/epub/74/pg74.cover.medium.jpg
1549,Commentary on the Epistle to the Galatians,"Luther,  Martin",Project Gutenberg, 1998,English,https://www.gutenberg.org/cache/epub/1549/pg1549.cover.medium.jpg
48465,United States Steel: A Corporation with a Soul,"Cotter,  Arundel",Project Gutenberg, 2015,English,https://www.gutenberg.org/cache/epub/48465/pg48465.cover.medium.jpg
13437,Best Russian Short Stories,"Seltzer,  Thomas",Project Gutenberg, 2004,English,https://www.gutenberg.org/cache/epub/13437/pg13437.cover.medium.jpg
21053,An anthology of German literature,"Thomas,  Calvin",Project Gutenberg, 2007,German,https://www.gutenberg.org/cache/epub/21053/pg21053.cover.medium.jpg
67799,The Book of the Courtier,"Castiglione,  Baldassarre,  conte",Project Gutenberg, 2022,English,https://www.gutenberg.org/cache/epub/67799/pg67799.cover.medium.jpg
17161,Max und Moritz: Eine Bubengeschichte in sieben Streichen,"Busch,  Wilhelm",Project Gutenberg, 2005,German,https://www.gutenberg.org/cache/epub/17161/pg17161.cover.medium.jpg
75120,Maehoe,"Leinster,  Murray",Project Gutenberg, 2025,English,https://www.gutenberg.org/cache/epub/75120/pg75120.cover.medium.jpg
1322,Leaves of Grass,"Whitman,  Walt",Project Gutenberg, 1998,English,https://www.gutenberg.org/cache/epub/1322/pg1322.cover.medium.jpg
8800,The divine comedy,Dante Alighieri,Project Gutenberg, 2005,English,https://www.gutenberg.org/cache/epub/8800/pg8800.cover.medium.jpg
23,"Narrative of the Life of Frederick Douglass, an American Slave","Douglass,  Frederick",Project Gutenberg, 2006,English,https://www.gutenberg.org/cache/epub/23/pg23.cover.medium.jpg
34206,"The Thousand and One Nights, Vol. I.Commonly Called the Arabian Nights' Entertainments","Lane,  Edward William",Project Gutenberg, 2010,English,https://www.gutenberg.org/cache/epub/34206/pg34206.cover.medium.jpg
75209,The case of the Black Twenty-Two,"Flynn,  Brian",Project Gutenberg, 2025,English,https://www.gutenberg.org/cache/epub/75209/pg75209.cover.medium.jpg
20480,Palmistry for All,Cheiro,Project Gutenberg, 2007,English,https://www.gutenberg.org/cache/epub/20480/pg20480.cover.medium.jpg
2518,"The Hungry Stones, and Other Stories","Tagore,  Rabindranath",Project Gutenberg, 2001,English,https://www.gutenberg.org/cache/epub/2518/pg2518.cover.medium.jpg
2148,The Works of Edgar Allan Poe — Volume 2,"Poe,  Edgar Allan",Project Gutenberg, 2000,English,https://www.gutenberg.org/cache/epub/2148/pg2148.cover.medium.jpg
27200,Fairy Tales of Hans Christian Andersen,"Andersen,  H. C. (Hans Christian)",Project Gutenberg, 2008,English,https://www.gutenberg.org/cache/epub/27200/pg27200.cover.medium.jpg
14833,"Varney the Vampire; Or, the Feast of Blood","Prest,  Thomas Peckett",Project Gutenberg, 2005,English,https://www.gutenberg.org/cache/epub/14833/pg14833.cover.medium.jpg
244,A Study in Scarlet,"Doyle,  Arthur Conan",Project Gutenberg, 1995,English,https://www.gutenberg.org/cache/epub/244/pg244.cover.medium.jpg
27083,The Subjection of Women,"Mill,  John Stuart",Project Gutenberg, 2008,English,https://www.gutenberg.org/cache/epub/27083/pg27083.cover.medium.jpg
35,The Time Machine,"Wells,  H. G. (Herbert George)",Project Gutenberg, 2004,English,https://www.gutenberg.org/cache/epub/35/pg35.cover.medium.jpg
6737,The Social Cancer: A Complete English Version of Noli Me Tangere,"Rizal,  José",Project Gutenberg, 2004,English,https://www.gutenberg.org/cache/epub/6737/pg6737.cover.medium.jpg
1508,The Taming of the Shrew,"Shakespeare,  William",Project Gutenberg, 1998,English,https://www.gutenberg.org/cache/epub/1508/pg1508.cover.medium.jpg
69683,Men without women,"Hemingway,  Ernest",Project Gutenberg, 2023,English,https://www.gutenberg.org/cache/epub/69683/pg69683.cover.medium.jpg
17989,"Le comte de Monte-Cristo, Tome I","Dumas,  Alexandre",Project Gutenberg, 2006,French,https://www.gutenberg.org/cache/epub/17989/pg17989.cover.medium.jpg
28233,Philosophiae Naturalis Principia Mathematica,"Newton,  Isaac",Project Gutenberg, 2009,Latin,https://www.gutenberg.org/cache/epub/28233/pg28233.cover.medium.jpg
15263,"The Underground RailroadA Record of Facts, Authentic Narratives, Letters, &c., Narrating the Hardships, Hair-Breadth Escapes and Death Struggles of the Slaves in Their Efforts for Freedom, As Related by Themselves and Others, or Witnessed by the Author.","Still,  William",Project Gutenberg, 2005,English,https://www.gutenberg.org/cache/epub/15263/pg15263.cover.medium.jpg
75161,The book of the American Indian,"Garland,  Hamlin",Project Gutenberg, 2025,English,https://www.gutenberg.org/cache/epub/75161/pg75161.cover.medium.jpg
1676,Alcibiades I,Plato (spurious and doubtful works),Project Gutenberg, 1999,English,https://www.gutenberg.org/cache/epub/1676/pg1676.cover.medium.jpg
10827,Discourses on the First Decade of Titus Livius,"Machiavelli,  Niccolò",Project Gutenberg, 2004,English,https://www.gutenberg.org/cache/epub/10827/pg10827.cover.medium.jpg
62,A Princess of Mars,"Burroughs,  Edgar Rice",Project Gutenberg, 1993,English,https://www.gutenberg.org/cache/epub/62/pg62.cover.medium.jpg
31100,The Complete Project Gutenberg Works of Jane AustenA Linked Index of all PG Editions of Jane Austen,"Austen,  Jane",Project Gutenberg, 2010,English,https://www.gutenberg.org/cache/epub/31100/pg31100.cover.medium.jpg
75248,Pegasus :  problems of transportation,"Fuller,  J. F. C. (John Frederick Charles)",Project Gutenberg, 2025,English,https://www.gutenberg.org/cache/epub/75248/pg75248.cover.medium.jpg
