ID,title,subtitle,author,publisher,first_published_year,language,cover_image,pages,rating,isbn_10,isbn_13
OL5857272W,Liverpool fantasy,,Larry Kirwan,Thunder's Mouth Press,           1984         ,English,//covers.openlibrary.org/b/id/789555-M.jpg,310,,1560254971,
OL26855704W,Fireheart Fantasy Collection,5 Urban Fantasy Novellas,Connor Whiteley,Draft2Digital,           2021         ,English,/images/icons/avatar_book.png,,,,9781915127129
OL29684370W,Fantasy Tree I,Fantasy Cross Stitch Pattern,Kathleen George,Independently Published,           2019         ,English,/images/icons/avatar_book.png,,,,9781796737615
OL29464051W,Mein Stickeralbum,Motiv Drachen Fantasy 30 Seiten DIN A4 Blanko Kein Silikonpapier Geschenkidee,Mein Mein Stickeralbum,Independently Published,           2019         ,German,/images/icons/avatar_book.png,,,,9781796425857
OL21290534W,Fantasy Sport Industry,Games Within Games,Andrew C. Billings,Taylor & Francis Group,           2013         ,English,/images/icons/avatar_book.png,166,,,9780203119945
OL20763355W,New Creations Coloring Book Series,Fantasy Dwellings,Teresa Davis,"Davis, Teresa",           2002         ,English,/images/icons/avatar_book.png,,,,9781957914480
OL21008348W,Amazing Fantasy Omnibus,,Stan Lee,Marvel Comics,           2007         ,English,//covers.openlibrary.org/b/id/1464864-M.jpg,416,,0785124586,
OL213271W,A walk in Wolf Wood,a tale of fantasy and magic,Mary Stewart,Morrow,           1980         ,English,//covers.openlibrary.org/b/id/9866112-M.jpg,148,5.0 (1 rating),0688036791,
OL27993822W,Fantasy,,Lori Foster,Harlequin Enterprises ULC,           2010         ,English,/images/icons/avatar_book.png,,,,9781299325401
OL41328354W,Deviations of Fantasy,Gay Fantasy Stories,David Holly,CreateSpace Independent Publishing Platform,           2016         ,English,/images/icons/avatar_book.png,208,,,9781517256036
OL39998770W,Football Fantasy!,Fun with Fantasy Football,Paul Harthan,CreateSpace Independent Publishing Platform,           2013         ,English,/images/icons/avatar_book.png,60,,,9781482356861
