ID,title,author,publisher,first_published_year,language,cover_image
OL108560W,Power and prosperity,Mancur Olson,,2000.0,,//covers.openlibrary.org/b/id/9609525-M.jpg
OL5760001W,Guili Lapin,Mo Willems,Kaléidoscope,2004.0,French,//covers.openlibrary.org/b/id/11640445-M.jpg
OL13477904W,Mind maps in surgery,Pouya Youssefi,World Scientific,2008.0,English,/images/icons/avatar_book.png
OL24851988W,Sous le jasmin la nuit,Maïssa Bey,Éd. de l'Aube,2012.0,French,//covers.openlibrary.org/b/id/11717015-M.jpg
OL25553300W,"Canaan, Babylon, and Egypt",David P. McCash,D.M.,2021.0,English,/images/icons/avatar_book.png
OL20773702W,The Second Jim Thompson Omnibus,Jim Thompson,PICADOR,1997.0,,//covers.openlibrary.org/b/id/9772662-M.jpg
OL5162225W,Modern Introductory Analysis,"Mary P. Dolciani, Edwin F. Beckenback, A...",Houghton Mifflin College Div,1964.0,English,//covers.openlibrary.org/b/id/12833901-M.jpg
OL15840147W,Storming to Power (The Third Reich),Time-Life Books,Time-Life Books,1989.0,English,//covers.openlibrary.org/b/id/10269472-M.jpg
OL28402643W,Delicious Monsters,Liselle Sambury,"McElderry Books, Margaret K.",2023.0,English,//covers.openlibrary.org/b/id/13321031-M.jpg
OL143692W,An introduction to modern mathematics,Elbridge Putnam Vance,Addison-Wesley Pub. Co.,1963.0,English,//covers.openlibrary.org/b/id/6619729-M.jpg
OL16504507W,Step to this,Nikki Carter,Dafina Books/Kensington Pub. Corp.,2009.0,English,//covers.openlibrary.org/b/id/8223934-M.jpg
OL21152532W,The Intelligent Investor,"Graham, Benjamin;Zweig, Jason",Generic,2003.0,,//covers.openlibrary.org/b/id/10328222-M.jpg
OL34735956W,Quién eres tú y qué haces aquí-El Libro de iO,Jesús Yanes,El Pensador de Libros,2020.0,,//covers.openlibrary.org/b/id/14828210-M.jpg
OL2645476W,Passing,Nella Larsen,A. A. Knopf,1929.0,English,//covers.openlibrary.org/b/id/6073463-M.jpg
OL963869W,Pasardhësi,Ismail Kadare,Onufri,2003.0,Albanian,//covers.openlibrary.org/b/id/8048712-M.jpg
OL15904685W,The Dickinson genealogy,Philip Pease Dickinson,,1970.0,English,/images/icons/avatar_book.png
OL8328638W,Jesus in the Talmud,Peter Schafer,Princeton University Press,2007.0,English,//covers.openlibrary.org/b/id/444403-M.jpg
OL29983W,Little women,Louisa May Alcott,Dent,1848.0,English,//covers.openlibrary.org/b/id/10615618-M.jpg
OL1817045W,Software engineering,Shari Lawrence Pfleeger,Pearson Prentice Hall,1987.0,English,//covers.openlibrary.org/b/id/9707305-M.jpg
OL2275319W,New Year with Canaanites and Israelites.,Johannes Cornelis de Moor,Kok,1972.0,English,//covers.openlibrary.org/b/id/10697527-M.jpg
OL11319395W,The Spanking Girls,Carter Brown,Belmont Tower Books,1979.0,English,//covers.openlibrary.org/b/id/14343689-M.jpg
OL18108064W,Can't Hurt Me,David Goggins,Lioncrest Publishing,2018.0,,//covers.openlibrary.org/b/id/9406261-M.jpg
OL21479990W,Dork Diaries,Rachel Renée Russell,Aladdin,2009.0,,//covers.openlibrary.org/b/id/10398163-M.jpg
OL17876072W,When,Victoria Laurie,Disney-Hyperion,2016.0,,//covers.openlibrary.org/b/id/8184974-M.jpg
OL17180966W,Amore e matematica,Edward Frenkel,Codice,2013.0,Italian,//covers.openlibrary.org/b/id/10641094-M.jpg
OL82884W,Une Rose Pour Emily,William Faulkner,Editions Flammarion,1930.0,French,//covers.openlibrary.org/b/id/3075629-M.jpg
