ID,title,author,publisher,first_published_year,language,cover_image
12949.0,Contes Français,Douglas Labaree Buffum,Project Gutenberg,2004.0,French,https://www.gutenberg.org/cache/epub/12949/pg12949.cover.medium.jpg
23717.0,Jabberwocky,Lewis Carroll,Project Gutenberg,2007.0,English,https://www.gutenberg.org/cache/epub/23717/pg23717.cover.medium.jpg
2559.0,"The Forsyte Saga, Volume I.The Man Of Property",John Galsworthy,Project Gutenberg,2006.0,English,https://www.gutenberg.org/cache/epub/2559/pg2559.cover.medium.jpg
32940.0,"Encyclopaedia Britannica, 11th Edition, ""England"" to ""English Finance""Volume 9, Slice 4",Various,Project Gutenberg,2010.0,English,https://www.gutenberg.org/cache/epub/32940/pg32940.cover.medium.jpg
14872.0,The Tale of Squirrel Nutkin,Beatrix Potter,Project Gutenberg,2005.0,English,https://www.gutenberg.org/cache/epub/14872/pg14872.cover.medium.jpg
205.0,"Walden, and On The Duty Of Civil Disobedience",Henry David Thoreau,Project Gutenberg,1995.0,English,https://www.gutenberg.org/cache/epub/205/pg205.cover.medium.jpg
40686.0,Demonology and Devil-lore,Moncure Daniel Conway,Project Gutenberg,2012.0,English,https://www.gutenberg.org/cache/epub/40686/pg40686.cover.medium.jpg
41214.0,Totem and TabooResemblances Between the Psychic Lives of Savages and Neurotics,Sigmund Freud,Project Gutenberg,2012.0,English,https://www.gutenberg.org/cache/epub/41214/pg41214.cover.medium.jpg
74.0,"The Adventures of Tom Sawyer, Complete",Mark Twain,Project Gutenberg,2004.0,English,https://www.gutenberg.org/cache/epub/74/pg74.cover.medium.jpg
1549.0,Commentary on the Epistle to the Galatians,Martin Luther,Project Gutenberg,1998.0,English,https://www.gutenberg.org/cache/epub/1549/pg1549.cover.medium.jpg
48465.0,United States Steel: A Corporation with a Soul,Arundel Cotter,Project Gutenberg,2015.0,English,https://www.gutenberg.org/cache/epub/48465/pg48465.cover.medium.jpg
13437.0,Best Russian Short Stories,Thomas Seltzer,Project Gutenberg,2004.0,English,https://www.gutenberg.org/cache/epub/13437/pg13437.cover.medium.jpg
21053.0,An anthology of German literature,Calvin Thomas,Project Gutenberg,2007.0,German,https://www.gutenberg.org/cache/epub/21053/pg21053.cover.medium.jpg
67799.0,The Book of the Courtier,"Baldassarre,  conte Castiglione",Project Gutenberg,2022.0,English,https://www.gutenberg.org/cache/epub/67799/pg67799.cover.medium.jpg
17161.0,Max und Moritz: Eine Bubengeschichte in sieben Streichen,Wilhelm Busch,Project Gutenberg,2005.0,German,https://www.gutenberg.org/cache/epub/17161/pg17161.cover.medium.jpg
75120.0,Maehoe,Murray Leinster,Project Gutenberg,2025.0,English,https://www.gutenberg.org/cache/epub/75120/pg75120.cover.medium.jpg
1322.0,Leaves of Grass,Walt Whitman,Project Gutenberg,1998.0,English,https://www.gutenberg.org/cache/epub/1322/pg1322.cover.medium.jpg
8800.0,The divine comedy,Alighieri Dante,Project Gutenberg,2005.0,English,https://www.gutenberg.org/cache/epub/8800/pg8800.cover.medium.jpg
23.0,"Narrative of the Life of Frederick Douglass, an American Slave",Frederick Douglass,Project Gutenberg,2006.0,English,https://www.gutenberg.org/cache/epub/23/pg23.cover.medium.jpg
34206.0,"The Thousand and One Nights, Vol. I.Commonly Called the Arabian Nights' Entertainments",Edward William Lane,Project Gutenberg,2010.0,English,https://www.gutenberg.org/cache/epub/34206/pg34206.cover.medium.jpg
75209.0,The case of the Black Twenty-Two,Brian Flynn,Project Gutenberg,2025.0,English,https://www.gutenberg.org/cache/epub/75209/pg75209.cover.medium.jpg
20480.0,Palmistry for All,Cheiro,Project Gutenberg,2007.0,English,https://www.gutenberg.org/cache/epub/20480/pg20480.cover.medium.jpg
2518.0,"The Hungry Stones, and Other Stories",Rabindranath Tagore,Project Gutenberg,2001.0,English,https://www.gutenberg.org/cache/epub/2518/pg2518.cover.medium.jpg
2148.0,The Works of Edgar Allan Poe — Volume 2,Edgar Allan Poe,Project Gutenberg,2000.0,English,https://www.gutenberg.org/cache/epub/2148/pg2148.cover.medium.jpg
27200.0,Fairy Tales of Hans Christian Andersen,H. C. (Hans Christian) Andersen,Project Gutenberg,2008.0,English,https://www.gutenberg.org/cache/epub/27200/pg27200.cover.medium.jpg
14833.0,"Varney the Vampire; Or, the Feast of Blood",Thomas Peckett Prest,Project Gutenberg,2005.0,English,https://www.gutenberg.org/cache/epub/14833/pg14833.cover.medium.jpg
244.0,A Study in Scarlet,Arthur Conan Doyle,Project Gutenberg,1995.0,English,https://www.gutenberg.org/cache/epub/244/pg244.cover.medium.jpg
27083.0,The Subjection of Women,John Stuart Mill,Project Gutenberg,2008.0,English,https://www.gutenberg.org/cache/epub/27083/pg27083.cover.medium.jpg
35.0,The Time Machine,H. G. (Herbert George) Wells,Project Gutenberg,2004.0,English,https://www.gutenberg.org/cache/epub/35/pg35.cover.medium.jpg
6737.0,The Social Cancer: A Complete English Version of Noli Me Tangere,José Rizal,Project Gutenberg,2004.0,English,https://www.gutenberg.org/cache/epub/6737/pg6737.cover.medium.jpg
1508.0,The Taming of the Shrew,William Shakespeare,Project Gutenberg,1998.0,English,https://www.gutenberg.org/cache/epub/1508/pg1508.cover.medium.jpg
69683.0,Men without women,Ernest Hemingway,Project Gutenberg,2023.0,English,https://www.gutenberg.org/cache/epub/69683/pg69683.cover.medium.jpg
17989.0,"Le comte de Monte-Cristo, Tome I",Alexandre Dumas,Project Gutenberg,2006.0,French,https://www.gutenberg.org/cache/epub/17989/pg17989.cover.medium.jpg
28233.0,Philosophiae Naturalis Principia Mathematica,Isaac Newton,Project Gutenberg,2009.0,Latin,https://www.gutenberg.org/cache/epub/28233/pg28233.cover.medium.jpg
15263.0,"The Underground RailroadA Record of Facts, Authentic Narratives, Letters, &c., Narrating the Hardships, Hair-Breadth Escapes and Death Struggles of the Slaves in Their Efforts for Freedom, As Related by Themselves and Others, or Witnessed by the Author.",William Still,Project Gutenberg,2005.0,English,https://www.gutenberg.org/cache/epub/15263/pg15263.cover.medium.jpg
75161.0,The book of the American Indian,Hamlin Garland,Project Gutenberg,2025.0,English,https://www.gutenberg.org/cache/epub/75161/pg75161.cover.medium.jpg
1676.0,Alcibiades I,works) Plato (spurious and doubtful,Project Gutenberg,1999.0,English,https://www.gutenberg.org/cache/epub/1676/pg1676.cover.medium.jpg
10827.0,Discourses on the First Decade of Titus Livius,Niccolò Machiavelli,Project Gutenberg,2004.0,English,https://www.gutenberg.org/cache/epub/10827/pg10827.cover.medium.jpg
62.0,A Princess of Mars,Edgar Rice Burroughs,Project Gutenberg,1993.0,English,https://www.gutenberg.org/cache/epub/62/pg62.cover.medium.jpg
31100.0,The Complete Project Gutenberg Works of Jane AustenA Linked Index of all PG Editions of Jane Austen,Jane Austen,Project Gutenberg,2010.0,English,https://www.gutenberg.org/cache/epub/31100/pg31100.cover.medium.jpg
75248.0,Pegasus :  problems of transportation,J. F. C. (John Frederick Charles) Fuller,Project Gutenberg,2025.0,English,https://www.gutenberg.org/cache/epub/75248/pg75248.cover.medium.jpg
45304.0,"The City of God, Volume I","Saint,  Bishop of Hippo Augustine",Project Gutenberg,2014.0,English,https://www.gutenberg.org/cache/epub/45304/pg45304.cover.medium.jpg
23078.0,Murder at Bridge,Anne Austin,Project Gutenberg,2007.0,English,https://www.gutenberg.org/cache/epub/23078/pg23078.cover.medium.jpg
67961.0,El arte de amar,Ovid,Project Gutenberg,2022.0,Spanish,https://www.gutenberg.org/cache/epub/67961/pg67961.cover.medium.jpg
792.0,"Wieland; Or, The Transformation: An American Tale",Charles Brockden Brown,Project Gutenberg,1997.0,English,https://www.gutenberg.org/cache/epub/792/pg792.cover.medium.jpg
41445.0,"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley,Project Gutenberg,2012.0,English,https://www.gutenberg.org/cache/epub/41445/pg41445.cover.medium.jpg
57342.0,The Lives and Opinions of Eminent Philosophers,Laertius Diogenes,Project Gutenberg,2018.0,English,https://www.gutenberg.org/cache/epub/57342/pg57342.cover.medium.jpg
75233.0,Dragon moon,Henry Kuttner,Project Gutenberg,2025.0,English,https://www.gutenberg.org/cache/epub/75233/pg75233.cover.medium.jpg
